,GFI,complexity,document,length_of_chunk,number_of_chunk
810,11.3917,3,summaryL1/fu024d_2005_02.txt,10,1
811,13.4995,3,summaryL1/fu024d_2005_02.txt,10,2
812,8.6821,4,summaryL1/fu024d_2005_02.txt,29,1
825,8.4635,4,summaryL1/fu024d_2005_02.txt,28,1
826,8.3236,4,summaryL1/fu024d_2005_02.txt,26,1
827,8.486,4,summaryL1/fu024d_2005_02.txt,24,1
828,8.1818,4,summaryL1/fu024d_2005_02.txt,22,1
829,8.2057,4,summaryL1/fu024d_2005_02.txt,20,1
830,8.7756,4,summaryL1/fu024d_2005_02.txt,18,1
831,8.9151,4,summaryL1/fu024d_2005_02.txt,16,1
832,9.0427,4,summaryL1/fu024d_2005_02.txt,14,1
833,8.5737,4,summaryL1/fu024d_2005_02.txt,14,2
834,8.9112,4,summaryL1/fu024d_2005_02.txt,12,1
835,8.5454,4,summaryL1/fu024d_2005_02.txt,12,2
836,8.2748,4,summaryL1/fu024d_2005_02.txt,10,1
837,8.4575,4,summaryL1/fu024d_2005_02.txt,10,2
838,5.7059,5,summaryL1/fu024d_2005_02.txt,29,1
851,5.7723,5,summaryL1/fu024d_2005_02.txt,28,1
852,5.7029,5,summaryL1/fu024d_2005_02.txt,26,1
853,5.5403,5,summaryL1/fu024d_2005_02.txt,24,1
854,5.2727,5,summaryL1/fu024d_2005_02.txt,22,1
855,5.3486,5,summaryL1/fu024d_2005_02.txt,20,1
856,5.34,5,summaryL1/fu024d_2005_02.txt,18,1
857,5.5108,5,summaryL1/fu024d_2005_02.txt,16,1
858,5.4655,5,summaryL1/fu024d_2005_02.txt,14,1
859,6.4168,5,summaryL1/fu024d_2005_02.txt,14,2
860,4.9508,5,summaryL1/fu024d_2005_02.txt,12,1
861,6.2524,5,summaryL1/fu024d_2005_02.txt,12,2
862,4.6384,5,summaryL1/fu024d_2005_02.txt,10,1
863,6.1045,5,summaryL1/fu024d_2005_02.txt,10,2
864,11.2479,3,summaryL1/fu054d_2007_07.txt,34,1
876,11.4454,3,summaryL1/fu054d_2007_07.txt,30,1
877,11.2439,3,summaryL1/fu054d_2007_07.txt,28,1
878,11.2119,3,summaryL1/fu054d_2007_07.txt,26,1
879,11.578,3,summaryL1/fu054d_2007_07.txt,24,1
880,10.8727,3,summaryL1/fu054d_2007_07.txt,22,1
881,11.236,3,summaryL1/fu054d_2007_07.txt,20,1
882,11.6833,3,summaryL1/fu054d_2007_07.txt,18,1
883,12.159,3,summaryL1/fu054d_2007_07.txt,16,1
884,10.0168,3,summaryL1/fu054d_2007_07.txt,16,2
885,11.8624,3,summaryL1/fu054d_2007_07.txt,14,1
