,GFI,complexity,document,length_of_chunk,number_of_chunk
331,12.4276,5,en114417450.txt,10,33
332,6.0759,5,en114417450.txt,10,34
333,7.5016,5,en114417450.txt,10,35
334,8.5133,5,en114417450.txt,10,36
335,9.0686,5,en114417450.txt,10,37
336,11.578,5,en114417450.txt,10,38
337,10.339,5,en114417450.txt,10,39
338,8.2649,5,en114417450.txt,10,40
339,12.8453,3,en119716549.txt,2110,1
340,14.3924,3,en119716549.txt,1000,1
341,11.0508,3,en119716549.txt,1000,2
342,14.6039,3,en119716549.txt,750,1
343,12.3216,3,en119716549.txt,750,2
344,15.1402,3,en119716549.txt,500,1
345,13.6135,3,en119716549.txt,500,2
346,11.5556,3,en119716549.txt,500,3
347,10.5304,3,en119716549.txt,500,4
348,15.4114,3,en119716549.txt,450,1
349,13.5903,3,en119716549.txt,450,2
350,12.3064,3,en119716549.txt,450,3
351,10.3549,3,en119716549.txt,450,4
352,15.5844,3,en119716549.txt,400,1
353,13.5364,3,en119716549.txt,400,2
354,13.1038,3,en119716549.txt,400,3
355,10.478,3,en119716549.txt,400,4
356,10.7931,3,en119716549.txt,400,5
357,15.6137,3,en119716549.txt,350,1
358,13.8351,3,en119716549.txt,350,2
359,13.2881,3,en119716549.txt,350,3
360,11.9748,3,en119716549.txt,350,4
361,10.0033,3,en119716549.txt,350,5
362,11.7395,3,en119716549.txt,350,6
363,15.8795,3,en119716549.txt,300,1
364,13.6395,3,en119716549.txt,300,2
365,13.9841,3,en119716549.txt,300,3
366,12.832,3,en119716549.txt,300,4
367,10.8095,3,en119716549.txt,300,5
368,10.355,3,en119716549.txt,300,6
369,11.734,3,en119716549.txt,300,7
370,15.7644,3,en119716549.txt,250,1
371,14.5587,3,en119716549.txt,250,2
372,13.4776,3,en119716549.txt,250,3
373,13.7504,3,en119716549.txt,250,4
374,12.3427,3,en119716549.txt,250,5
375,10.7297,3,en119716549.txt,250,6
376,10.0535,3,en119716549.txt,250,7
377,10.9911,3,en119716549.txt,250,8
378,15.9021,3,en119716549.txt,200,1
379,15.3593,3,en119716549.txt,200,2
380,13.0665,3,en119716549.txt,200,3
381,13.996,3,en119716549.txt,200,4
382,13.5766,3,en119716549.txt,200,5
383,12.6457,3,en119716549.txt,200,6
384,11.2674,3,en119716549.txt,200,7
385,9.672,3,en119716549.txt,200,8
386,10.8022,3,en119716549.txt,200,9
387,10.7896,3,en119716549.txt,200,10
388,16.177,3,en119716549.txt,150,1
389,15.6352,3,en119716549.txt,150,2
390,14.5484,3,en119716549.txt,150,3
391,12.7729,3,en119716549.txt,150,4
392,13.8507,3,en119716549.txt,150,5
393,14.1169,3,en119716549.txt,150,6
394,12.7578,3,en119716549.txt,150,7
395,12.9074,3,en119716549.txt,150,8
396,11.26,3,en119716549.txt,150,9
397,10.3591,3,en119716549.txt,150,10
398,9.5367,3,en119716549.txt,150,11
399,11.1291,3,en119716549.txt,150,12
400,10.8907,3,en119716549.txt,150,13
401,12.5296,3,en119716549.txt,150,14
402,16.1959,3,en119716549.txt,100,1
403,15.6037,3,en119716549.txt,100,2
404,15.9165,3,en119716549.txt,100,3
405,14.796,3,en119716549.txt,100,4
406,13.2312,3,en119716549.txt,100,5
407,12.9015,3,en119716549.txt,100,6
408,14.5154,3,en119716549.txt,100,7
